Romans 1:1	Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Good News of God,
2 Corinthians 1:23	But I call God for a witness to my soul, that I didn’t come to Corinth to spare you.
2 Corinthians 1:24	Not that we have lordship over your faith, but are fellow workers with you for your joy. For you stand firm in faith.
2 Corinthians 2:1	But I determined this for myself, that I would not come to you again in sorrow.
2 Corinthians 2:2	For if I make you sorry, then who will make me glad but he who is made sorry by me?
2 Corinthians 2:3	And I wrote this very thing to you, so that, when I came, I wouldn’t have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy would be shared by all of you.
2 Corinthians 2:4	For out of much affliction and anguish of heart I wrote to you with many tears, not that you should be made sorry, but that you might know the love that I have so abundantly for you.
2 Corinthians 2:5	But if any has caused sorrow, he has caused sorrow, not to me, but in part (that I not press too heavily) to you all.
2 Corinthians 2:6	Sufficient to such a one is this punishment which was inflicted by the many;
2 Corinthians 2:7	so that on the contrary you should rather forgive him and comfort him, lest by any means such a one should be swallowed up with his excessive sorrow.
2 Corinthians 2:8	Therefore I beg you to confirm your love toward him.
2 Corinthians 2:9	For to this end I also wrote, that I might know the proof of you, whether you are obedient in all things.
2 Corinthians 2:10	Now I also forgive whomever you forgive anything. For if indeed I have forgiven anything, I have forgiven that one for your sakes in the presence of Christ,
2 Corinthians 2:11	that no advantage may be gained over us by Satan; for we are not ignorant of his schemes.
2 Corinthians 2:12	Now when I came to Troas for the Good News of Christ, and when a door was opened to me in the Lord,
2 Corinthians 2:13	I had no relief for my spirit, because I didn’t find Titus, my brother, but taking my leave of them, I went out into Macedonia.
2 Corinthians 2:14	Now thanks be to God, who always leads us in triumph in Christ, and reveals through us the sweet aroma of his knowledge in every place.
2 Corinthians 2:15	For we are a sweet aroma of Christ to God, in those who are saved, and in those who perish;
2 Corinthians 2:16	to the one a stench from death to death; to the other a sweet aroma from life to life. Who is sufficient for these things?
2 Corinthians 2:17	For we are not as so many, peddling the word of God. But as of sincerity, but as of God, in the sight of God, we speak in Christ.
2 Corinthians 3:1	Are we beginning again to commend ourselves? Or do we need, as do some, letters of commendation to you or from you?
2 Corinthians 3:2	You are our letter, written in our hearts, known and read by all men;
2 Corinthians 3:3	being revealed that you are a letter of Christ, served by us, written not with ink, but with the Spirit of the living God; not in tablets of stone, but in tablets that are hearts of flesh.
2 Corinthians 3:4	Such confidence we have through Christ toward God;
2 Corinthians 3:5	not that we are sufficient of ourselves, to account anything as from ourselves; but our sufficiency is from God;
2 Corinthians 3:6	who also made us sufficient as servants of a new covenant; not of the letter, but of the Spirit. For the letter kills, but the Spirit gives life.
2 Corinthians 3:7	But if the service of death, written engraved on stones, came with glory, so that the children of Israel could not look steadfastly on the face of Moses for the glory of his face; which was passing away:
2 Corinthians 3:8	won’t service of the Spirit be with much more glory?
2 Corinthians 3:9	For if the service of condemnation has glory, the service of righteousness exceeds much more in glory.
2 Corinthians 3:10	For most certainly that which has been made glorious has not been made glorious in this respect, by reason of the glory that surpasses.
2 Corinthians 3:11	For if that which passes away was with glory, much more that which remains is in glory.
2 Corinthians 3:12	Having therefore such a hope, we use great boldness of speech,
2 Corinthians 3:13	and not as Moses, who put a veil on his face, that the children of Israel wouldn’t look steadfastly on the end of that which was passing away.
2 Corinthians 3:14	But their minds were hardened, for until this very day at the reading of the old covenant the same veil remains, because in Christ it passes away.
2 Corinthians 3:15	But to this day, when Moses is read, a veil lies on their heart.
2 Corinthians 3:16	But whenever one turns to the Lord, the veil is taken away.
2 Corinthians 3:17	Now the Lord is the Spirit and where the Spirit of the Lord is, there is liberty.
2 Corinthians 3:18	But we all, with unveiled face beholding as in a mirror the glory of the Lord, are transformed into the same image from glory to glory, even as from the Lord, the Spirit.
2 Corinthians 4:1	Therefore seeing we have this ministry, even as we obtained mercy, we don’t faint.
2 Corinthians 4:2	But we have renounced the hidden things of shame, not walking in craftiness, nor handling the word of God deceitfully; but by the manifestation of the truth commending ourselves to every man’s conscience in the sight of God.
2 Corinthians 4:3	Even if our Good News is veiled, it is veiled in those who perish;
2 Corinthians 4:4	in whom the god of this world has blinded the minds of the unbelieving, that the light of the Good News of the glory of Christ, who is the image of God, should not dawn on them.
2 Corinthians 4:5	For we don’t preach ourselves, but Christ Jesus as Lord, and ourselves as your servants for Jesus’ sake;
2 Corinthians 4:6	seeing it is God who said, “Light will shine out of darkness,” who has shone in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ.
2 Corinthians 4:7	But we have this treasure in clay vessels, that the exceeding greatness of the power may be of God, and not from ourselves.
2 Corinthians 4:8	We are pressed on every side, yet not crushed; perplexed, yet not to despair;
2 Corinthians 4:9	pursued, yet not forsaken; struck down, yet not destroyed;
2 Corinthians 4:10	always carrying in the body the putting to death of the Lord Jesus, that the life of Jesus may also be revealed in our body.
2 Corinthians 4:11	For we who live are always delivered to death for Jesus’ sake, that the life also of Jesus may be revealed in our mortal flesh.
2 Corinthians 4:12	So then death works in us, but life in you.
2 Corinthians 4:13	But having the same spirit of faith, according to that which is written, “I believed, and therefore I spoke.” We also believe, and therefore also we speak;
2 Corinthians 4:14	knowing that he who raised the Lord Jesus will raise us also with Jesus, and will present us with you.
2 Corinthians 4:15	For all things are for your sakes, that the grace, being multiplied through the many, may cause the thanksgiving to abound to the glory of God.
2 Corinthians 4:16	Therefore we don’t faint, but though our outward man is decaying, yet our inward man is renewed day by day.
2 Corinthians 4:17	For our light affliction, which is for the moment, works for us more and more exceedingly an eternal weight of glory;
2 Corinthians 4:18	while we don’t look at the things which are seen, but at the things which are not seen. For the things which are seen are temporal, but the things which are not seen are eternal.
